id,resource_type,locator,translatable_string
c896f31b-6760-443a-acdc-176a650808e8,ACTION_TITLE,"workspace.actions[action=""run_always""].title","""Trigger word detected"""
892aafae-1c27-475a-afcf-54a5062ef101,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_001""].output.generic[0].values[0].text","""I'm afraid I don't understand. Please rephrase your question."""
4936737c-dd79-4505-9433-5a16c1d089bc,ACTION_STEP_OUTPUT_GENERIC_VALUES_TEXT,"workspace.actions[action=""anything_else""].steps[step=""step_002""].output.generic[0].values[0].text",""""""
3bdaf824-551c-4320-a8fd-ef1bb71e5ccb,ACTION_TITLE,"workspace.actions[action=""anything_else""].title","""No matches"""
e14cdce9-7483-4b00-a4ea-f595625e0e49,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_FAILURE_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_failure.generic[0].values[0].text_expression.concat,"""I'm sorry, I did not catch that, please confirm."""
1b97e68f-c071-41d5-9fc1-647d3ddb48ac,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_VALUES_TEXT_EXPRESSION,workspace.system_settings.topic_switch.messages.confirmation_request.generic[0].values[0].text_expression.concat,"""Do you want to continue with the previous topic: ${sys_var(digressed_from)}?"""
249b39bc-6f2c-4fc9-ae24-399653929bf9,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[0].label,"""Yes"""
dc2a8715-a756-44ef-8c66-c11e37d559bf,SYS_SETTINGS_TOPIC_SWITCH_MSGS_CONFIRMATION_REQUEST_GENERIC_OPTIONS_LABEL,workspace.system_settings.topic_switch.messages.confirmation_request.generic[1].options[1].label,"""No"""
6da8762f-21f9-483f-93b1-e0a090000cb6,SYS_SETTINGS_DISAMBIGUATION_NONE_OF_ABOVE_PROMPT,workspace.system_settings.disambiguation.none_of_the_above_prompt,"""None of the above"""
48cdf824-a2d6-4886-b33c-3557f37e5223,SYS_SETTINGS_DISAMBIGUATION_PROMPT,workspace.system_settings.disambiguation.prompt,"""Did you mean:"""
46d07e60-c080-4b6c-b19f-72fd4e8f2cc8,SYS_SETTINGS_DISAMBIGUATION_SINGLE_ANSWER_CLARIFICATION_PROMPT,workspace.system_settings.disambiguation.single_answer_clarification_prompt,"""Something else"""
