id,resource_type,locator,translatable_string
c2fd6c52-e6cd-485c-ad05-e4d06e621564,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""SoHo""].synonyms[0]","""downtown"""
1a8da94f-26b8-4750-838b-f171fa6821ae,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""SoHo""].synonyms[1]","""shopping district"""
1fc19171-955d-47d0-b73d-b2cc57c4fb28,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""SoHo""].synonyms[2]","""South Houston"""
21f025fd-7e4c-4b71-858b-28e92ca10518,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""The Domain""].value","""The Domain"""
8b62feb4-c931-4e5e-8f53-c603f22dfd7b,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""The Domain""].synonyms[0]","""Austin"""
32efa0df-0a41-4278-b716-6fd305f9c188,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""The Domain""].synonyms[1]","""Texas"""
d7572a5e-c01b-4493-861b-44070b92e47a,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Times Square""].value","""Times Square"""
32d2b2c0-4be2-4446-8404-5fbdac729e6e,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Times Square""].synonyms[0]","""42 st"""
6fb57f45-e98f-4c8a-909d-fefc21fcb55e,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Times Square""].synonyms[1]","""broadway"""
f88e9e8a-8d91-4a5b-9a70-961688c59d90,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Times Square""].synonyms[2]","""by the billboards"""
7dc0174c-a5c9-4049-bd7d-3b2cf9973257,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Times Square""].synonyms[3]","""Times sq"""
05a70587-766c-4f1f-a1a1-f32754d3567b,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Tribeca""].value","""Tribeca"""
717ed712-b386-4276-b871-671d9d331b8b,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Tribeca""].synonyms[0]","""Hudson"""
4df7579a-471b-4d7a-a5af-da449658b25d,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Williamsburg""].value","""Williamsburg"""
d6137c8e-c431-4e0f-97c7-6d6330c51d40,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Williamsburg""].synonyms[0]","""Brooklyn"""
0203e893-ecd3-4105-b364-1399437f11f7,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Williamsburg""].synonyms[1]","""East Williamsburg"""
f9a648a5-d132-4475-88a7-c282f4ea6708,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Chelsea""].value","""Chelsea"""
3b1ddae4-314a-4239-bef8-f62334457f65,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Chelsea""].synonyms[0]","""23rd Street"""
a896506e-e816-40af-a636-452ccb0a838b,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Chelsea""].synonyms[1]","""West Side"""
602a0ad5-68ba-4fdc-99b1-bf7d829b21f4,ENTITY_VALUE,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Hollywood""].value","""Hollywood"""
1ea66054-8b77-4a1d-8e2f-8bd0499b5f06,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Hollywood""].synonyms[0]","""CA"""
30c829c9-aa1a-4315-b1c3-8d20ca220b39,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_15709""].values[type=""synonyms"", value=""Hollywood""].synonyms[1]","""California"""
8f7d67fd-eadd-4efa-aa3e-fc65c02d0066,ENTITY_VALUE,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].value","""No"""
46b62978-2d4a-4de7-8176-2256c21e4ead,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].synonyms[0]","""Nah"""
faef10e1-5d60-47e8-aef4-4e28c8792e2c,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].synonyms[1]","""no"""
b89767b2-8eff-4425-9051-32656d5651e6,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].synonyms[2]","""nope"""
b341ef2d-6352-43ba-81e9-2eb763390ab7,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].synonyms[3]","""not right"""
1b16fe70-193e-4767-b0f0-4daee66258af,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""No""].synonyms[4]","""wrong"""
ed30042a-f86e-4e95-93e7-cdbc6f4c89b0,ENTITY_VALUE,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].value","""Yes"""
f38bfbbe-ac4c-4f6b-9798-5288d9d5202f,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].synonyms[0]","""correct"""
5a46b871-33e4-4885-9dc3-1888eda2eecd,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].synonyms[1]","""precisely"""
27727a60-7f42-4fee-b149-353dca4a8e75,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].synonyms[2]","""ya"""
0d4310cb-e5e4-466e-a254-c2d96f807442,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].synonyms[3]","""yep"""
66679af1-8af8-4a8e-b4de-cbbb4e4d2dec,ENTITY_VALUE_SYNONYM,"workspace.entities[entity=""entity_39502""].values[type=""synonyms"", value=""Yes""].synonyms[4]","""Yes"""
ad886445-347d-4734-9a49-16c75d1a4f64,ENTITY_VALUE,"workspace.entities[entity=""entity_25899""].values[type=""patterns"", value=""Email""].value","""Email"""
b3bd745a-70df-49e6-8c02-b2f3223051a2,ENTITY_VALUE_PATTERN,"workspace.entities[entity=""entity_25899""].values[type=""patterns"", value=""Email""].pattern","""\b(?:[A-Za-z0-9!#$%&'*+/=?^_`{|}~-]+(?:\.[A-Za-z0-9!#$%&'*+/=?^_`{|}~-]+)*|""(?:[\x01-\x08\x0b\x0c\x0e-\x1f\x21\x23-\x5b\x5d-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])*"")@(?:(?:[A-Za-z0-9](?:[A-Za-z0-9-]*[A-Za-z0-9])?\.)+[A-Za-z0-9](?:[A-Za-z0-9-]*[A-Za-z0-9])?|\[(?:(?:(2(5[0-5]|[0-4][0-9])|1[0-9][0-9]|[1-9]?[0-9]))\.){3}(?:(2(5[0-5]|[0-4][0-9])|1[0-9][0-9]|[1-9]?[0-9])|[A-Za-z0-9-]*[A-Za-z0-9]:(?:[\x01-\x08\x0b\x0c\x0e-\x1f\x21-\x5a\x53-\x7f]|\\[\x01-\x09\x0b\x0c\x0e-\x7f])+)\])\b"""
